"id";"Company";"TypeName";"Inches";"resolution_height";"resolution_width";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"price"
1;"Asus";"Gaming";"17.3";1920;1080;0;"Intel";"Core i7";"2.90";32;"Hybrid";"512";"1024";"Nvidia";"windows";"4.7";207259
2;"Asus";"2 in 1 Convertible";"13.3";1920;1080;1;"Intel";"Core i7";"1.80";8;"SSD";"512";"512";"Intel";"windows";"4.1";79867
3;"Acer";"Gaming";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"windows";"2.5";45075
4;"Asus";"Gaming";"15.6";1920;1080;0;"AMD";"FX 9830P";"3.00";8;"HDD";"1024";"0";"AMD";"windows";"2.45";37243
5;"Lenovo";"Notebook";"15.6";1366;768;0;"Intel";"Core i3";"2.00";8;"SSD";"128";"0";"Intel";"windows";"7.2";31382
6;"Asus";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"1024";"Nvidia";"windows";"2.1";61006
7;"Dell";"Notebook";"15.6";3840;2160;1;"Intel";"Core i7";"2.80";32;"SSD";"1024";"0";"Nvidia";"windows";"2.06";140606
8;"Asus";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"2.70";8;"Hybrid";"128";"1024";"Nvidia";"N/A";"2.69";47366
9;"Asus";"Notebook";"15.6";1366;768;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"Intel";"windows";"2";31232
10;"Lenovo";"Notebook";"15.6";1366;768;0;"Intel";"Core i5";"2.50";8;"HDD";"2048";"0";"Nvidia";"N/A";"2.2";29251
11;"Dell";"Gaming";"15.6";1920;1080;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";"windows";"2.56";46833
13;"Lenovo";"2 in 1 Convertible";"13.9";1920;1080;1;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";"windows";"1.38";57489
14;"HP";"Notebook";"17.3";1920;1080;0;"Intel";"Core i7";"1.80";8;"HDD";"1024";"0";"Nvidia";"windows";"2.5";54239
15;"Apple";"Ultrabook";"13.3";1440;900;0;"Intel";"Core i5";"1.60";8;"Flash Storge";"128";"0";"Intel";"mac";"1.35";58555
16;"Lenovo";"2 in 1 Convertible";"13.3";1920;1080;1;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";"windows";"1.37";74539
17;"Dell";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"2048";"AMD";"windows";"2.2";52481
18;"Acer";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";2;"HDD";"1024";"0";"Nvidia";"windows";"2.2";36710
19;"Apple";"Ultrabook";"13.3";2560;1600;0;"Intel";"Core i5";"2.00";8;"SSD";"256";"0";"Intel";"mac";"1.37";75604
20;"HP";"2 in 1 Convertible";"13.3";3840;2160;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";"windows";"1.29";79867
21;"Lenovo";"Notebook";"15.6";1920;1080;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";"windows";"2.05";46886
22;"Apple";"Ultrabook";"13.3";2560;1600;0;"Intel";"Core i5";"2.90";8;"SSD";"512";"0";"Intel";"mac";"1.37";104370
23;"Asus";"Gaming";"15.6";1920;1080;0;"Intel";"Core i7";"2.80";8;"Hybrid";"128";"1024";"Nvidia";"windows";"2.5";67399
